year	round	asset_id	reference_id	latitude	longitude
1998	15	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
1998	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1999	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
1999	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1999	3	layout-imola-2	layout-imola-2	44.341111	11.713333
1999	4	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1999	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
1999	6	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
1999	7	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1999	8	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
1999	9	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
1999	10	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1999	11	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1999	12	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1999	13	layout-monza-6	layout-monza-6	45.620556	9.289444
1999	14	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
1999	15	layout-sepang-1	layout-sepang-1	2.760556	101.7375
1999	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
2000	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2000	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2000	3	layout-imola-2	layout-imola-2	44.341111	11.713333
2000	4	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2000	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
2000	6	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
2000	7	layout-monaco-5	layout-monaco-5	43.734722	7.420556
2000	8	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
2000	9	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
2000	10	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
2000	11	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
2000	12	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
2000	13	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
2000	14	layout-monza-7	layout-monza-7	45.620556	9.289444
2000	15	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2000	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
2000	17	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2001	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2001	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2001	3	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2001	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2001	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
2001	6	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
2001	7	layout-monaco-5	layout-monaco-5	43.734722	7.420556
2001	8	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
2001	9	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
2001	10	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
2001	11	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2001	12	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
2001	13	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
2001	14	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
2001	15	layout-monza-7	layout-monza-7	45.620556	9.289444
2001	16	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2001	17	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
2002	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2002	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2002	3	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2002	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2002	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
2002	6	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
2002	7	layout-monaco-5	layout-monaco-5	43.734722	7.420556
2002	8	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2002	9	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2002	10	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
